claim_id,final_score,action,fraud_prob,anomaly_score,similarity_score,blacklist_flag,timestamp
T1001,0.0,auto_approve,0.0,0.0,0.0,0,2025-11-20T19:56:12.816206
T1001,0.0,auto_approve,0.0,0.0,0.0,0,2025-11-20T20:15:37.145040
T1001,0.027,auto_approve,0.0,0.09,0.0,0,2025-11-20T20:55:27.688218
noid_1763652386,0.4,manual_review,0.0,0.0,0.0,0,2025-11-20T20:56:26.105533
noid_1763678121,0.4,manual_review,0.0,0.0,0.0,0,2025-11-21T04:05:21.601339
noid_1763678216,0.4,manual_review,0.0,0.0,0.0,0,2025-11-21T04:06:56.028909
noid_1763678293,0.4,manual_review,0.0,0.0,0.0,0,2025-11-21T04:08:13.838369
noid_1763678347,0.4,manual_review,0.0,0.0,0.0,0,2025-11-21T04:09:07.742297
noid_1763678625,0.4,manual_review,0.0,0.0,0.0,0,2025-11-21T04:13:45.629600
noid_1763679068,0.4,manual_review,0.0,0.0,0.0,0,2025-11-21T04:21:08.548971
noid_1763683865,0.4,manual_review,0.0,0.0,0.0,0,2025-11-21T05:41:05.114384
noid_1763729107,0.4,manual_review,0.0,0.0,0.0,0,2025-11-21T18:15:07.761137
noid_1763729610,0.3,auto_approve,0.0,0.0,0.0,0,2025-11-21T18:23:30.956022
